clientid,client_name,client_phone,client_email,looking_for,requirements,status,client_bhk,client_furnishing,client_location,client_flexible_location,client_budget,client_listing_type
CL-1281,Yug Nagar,911953420393,yug.86@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹230L",Negotiating,3,,Bhayandar East,False,23000000,Sale
CL-1282,Chaitanya Shukla,7676199004,chaitanya.27@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹150L",On Hold,3,,Mira Road East,False,15000000,Sale
CL-1283,Charan Bandi,6372884043,charan.10@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹30k",Lost Interest,2,Fully Furnished,Bhayandar West,False,30000,Rent
CL-1284,Abha Bhakta,914505324461,abha.15@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹90L",On Hold,2,,Bhayandar West,False,9000000,Sale
CL-1285,Keya Sani,919091801915,keya.87@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹210L",On Hold,3,,Bhayandar West,False,21000000,Sale
CL-1286,Qasim Sarin,919820614515,qasim.17@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹65L",Deal Closed,1,,Bhayandar East,False,6500000,Sale
CL-1287,Warda Randhawa,918660396362,warda.61@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹58k",Lost Interest,3,Semi-Furnished,Bhayandar East,False,58000,Rent
CL-1288,Anay Bhatia,3471234272,anay.7@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹24k",On Hold,1,Semi-Furnished,Bhayandar West,False,24000,Rent
CL-1289,Ladli Dhillon,6034551630,ladli.55@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹50L",Actively Searching,1,,Bhayandar West,False,5000000,Sale
CL-1290,Bahadurjit Raja,7579515810,bahadurjit.2@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹52k",Lost Interest,3,Semi-Furnished,Mira Road East,False,52000,Rent
CL-1291,Jatin Edwin,914944695556,jatin.65@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹85L",Site Visit Planned,2,,Anywhere in Mira Bhayandar,True,8500000,Sale
CL-1292,Gaurav Sanghvi,914880276773,gaurav.34@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹23k",Actively Searching,1,Fully Furnished,Mira Road East,False,23000,Rent
CL-1293,Varsha Palan,8555520471,varsha.49@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹130L",Site Visit Planned,2,,Bhayandar West,False,13000000,Sale
CL-1294,Yuvraj Borra,567051996,yuvraj.43@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹135L",Actively Searching,2,,Mira Road East,False,13500000,Sale
CL-1295,Manan Natt,2302209005,manan.41@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹24k",Negotiating,1,Fully Furnished,Mira Road East,False,24000,Rent
CL-1296,Manthan Dar,8616337272,manthan.58@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹36k",Actively Searching,2,Unfurnished,Mira Road East,False,36000,Rent
CL-1297,Nidra Luthra,917442332075,nidra.72@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹55L",Lost Interest,1,,Anywhere in Mira Bhayandar,True,5500000,Sale
CL-1298,Bachittar Chandra,7848466303,bachittar.46@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹22k",Negotiating,1,Fully Furnished,Anywhere in Mira Bhayandar,True,22000,Rent
CL-1299,Vinaya Thaker,9278030767,vinaya.58@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹21k",Deal Closed,1,Fully Furnished,Anywhere in Mira Bhayandar,True,21000,Rent
CL-1300,Samaksh Mitra,9754541197,samaksh.62@example.com,Rent,"3 BHK Fully Furnished in Mira Road East, Rent up to â‚¹40k",Site Visit Planned,3,Fully Furnished,Mira Road East,False,40000,Rent
CL-1301,Zarna Mand,9682185348,zarna.42@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹28k",On Hold,2,Unfurnished,Mira Road East,False,28000,Rent
CL-1302,Chandani Puri,9138765318,chandani.41@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹54k",Deal Closed,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,54000,Rent
CL-1303,Lila Lad,4159440182,lila.56@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹200L",Actively Searching,3,,Mira Road East,False,20000000,Sale
CL-1304,Aayush Edwin,3602666123,aayush.85@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",Site Visit Planned,3,,Mira Road East,False,24000000,Sale
CL-1305,Mohammed Sachar,910554008014,mohammed.83@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹22k",Lost Interest,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,22000,Rent
CL-1306,Aashi Ganesh,1702192394,aashi.77@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",Negotiating,1,,Bhayandar East,False,7000000,Sale
CL-1307,Balvan Varma,9621381714,balvan.39@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Negotiating,1,,Mira Road East,False,6000000,Sale
CL-1308,Zayyan Bali,913888699690,zayyan.13@example.com,Rent,"2 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹37k",On Hold,2,Semi-Furnished,Anywhere in Mira Bhayandar,True,37000,Rent
CL-1309,Xalak Jha,2628521989,xalak.37@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹31k",Lost Interest,2,Fully Furnished,Bhayandar East,False,31000,Rent
CL-1310,Xiti Pandey,919547952393,xiti.79@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹29k",Lost Interest,2,Semi-Furnished,Bhayandar East,False,29000,Rent
CL-1311,Anusha Ramakrishnan,5200717551,anusha.35@example.com,Rent,"2 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹31k",Lost Interest,2,Fully Furnished,Anywhere in Mira Bhayandar,True,31000,Rent
CL-1312,Maanas Prabhakar,9051876250,maanas.65@example.com,Rent,"3 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹54k",Negotiating,3,Semi-Furnished,Anywhere in Mira Bhayandar,True,54000,Rent
CL-1313,Kai Manda,8646582153,kai.86@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹70L",On Hold,1,,Mira Road East,False,7000000,Sale
CL-1314,Pranit Raval,912163495419,pranit.85@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹54k",Actively Searching,3,Fully Furnished,Anywhere in Mira Bhayandar,True,54000,Rent
CL-1315,Adweta Khare,2435968086,adweta.5@example.com,Rent,"3 BHK Unfurnished in Bhayandar West, Rent up to â‚¹44k",Deal Closed,3,Unfurnished,Bhayandar West,False,44000,Rent
CL-1316,Praneel Dhar,3253036028,praneel.96@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹180L",Negotiating,3,,Anywhere in Mira Bhayandar,True,18000000,Sale
CL-1317,Kiaan Parekh,1575444140,kiaan.46@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹34k",Deal Closed,2,Fully Furnished,Bhayandar West,False,34000,Rent
CL-1318,Chandresh Garg,119783700,chandresh.89@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹21k",Deal Closed,1,Semi-Furnished,Mira Road East,False,21000,Rent
CL-1319,Anusha Guha,5770291214,anusha.60@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹80L",Deal Closed,2,,Mira Road East,False,8000000,Sale
CL-1320,Nikita Zachariah,7706985853,nikita.87@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹22k",On Hold,1,Semi-Furnished,Bhayandar East,False,22000,Rent
CL-1321,Kala Raman,4620725101,kala.47@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹210L",Negotiating,3,,Bhayandar West,False,21000000,Sale
CL-1322,Xalak Madan,3057343306,xalak.57@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹40k",Actively Searching,3,Unfurnished,Anywhere in Mira Bhayandar,True,40000,Rent
CL-1323,Simon Bahl,2799034128,simon.3@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹18k",Site Visit Planned,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,18000,Rent
CL-1324,Zinal Mitter,918985328808,zinal.24@example.com,Rent,"2 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹30k",Negotiating,2,Semi-Furnished,Mira Road East,False,30000,Rent
CL-1325,Advay Wadhwa,916648272661,advay.83@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹18k",Site Visit Planned,1,Semi-Furnished,Mira Road East,False,18000,Rent
CL-1326,Charan Kaur,912509682949,charan.70@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹240L",Negotiating,3,,Bhayandar East,False,24000000,Sale
CL-1327,Ekapad Uppal,6215578485,ekapad.38@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹170L",Site Visit Planned,3,,Mira Road East,False,17000000,Sale
CL-1328,Krishna Nagar,919853299234,krishna.37@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹115L",On Hold,2,,Bhayandar West,False,11500000,Sale
CL-1329,Aachal Halder,918063238021,aachal.29@example.com,Rent,"3 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹48k",On Hold,3,Fully Furnished,Anywhere in Mira Bhayandar,True,48000,Rent
CL-1330,Agastya Parsa,917417991365,agastya.63@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹60L",Actively Searching,1,,Mira Road East,False,6000000,Sale
CL-1331,Shivansh Kashyap,3862312976,shivansh.41@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹50k",Negotiating,3,Unfurnished,Anywhere in Mira Bhayandar,True,50000,Rent
CL-1332,Parth Keer,9172930510,parth.21@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹125L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,12500000,Sale
CL-1333,Naksh Vaidya,235681636,naksh.87@example.com,Rent,"3 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹40k",Actively Searching,3,Semi-Furnished,Bhayandar East,False,40000,Rent
CL-1334,Wakeeta Bath,915792364018,wakeeta.70@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹120L",Negotiating,2,,Bhayandar East,False,12000000,Sale
CL-1335,Kavya Bassi,3608241596,kavya.69@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹145L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,14500000,Sale
CL-1336,Ansh Kapoor,5572654984,ansh.56@example.com,Rent,"2 BHK Unfurnished in Bhayandar West, Rent up to â‚¹38k",Lost Interest,2,Unfurnished,Bhayandar West,False,38000,Rent
CL-1337,Idika Raman,7569727551,idika.1@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹150L",Deal Closed,3,,Anywhere in Mira Bhayandar,True,15000000,Sale
CL-1338,Ekansh Bhardwaj,917365553646,ekansh.7@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹50L",Actively Searching,1,,Bhayandar West,False,5000000,Sale
CL-1339,Ekaraj Rau,5324428261,ekaraj.54@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹54k",Negotiating,3,Semi-Furnished,Mira Road East,False,54000,Rent
CL-1340,Victor Chatterjee,915361325332,victor.26@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹52k",Lost Interest,3,Unfurnished,Anywhere in Mira Bhayandar,True,52000,Rent
CL-1341,Noah Chanda,919123800256,noah.30@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹65L",Deal Closed,1,,Bhayandar East,False,6500000,Sale
CL-1342,Ranbir Goda,3036241577,ranbir.19@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹220L",Lost Interest,3,,Anywhere in Mira Bhayandar,True,22000000,Sale
CL-1343,Ranveer Goswami,3225603725,ranveer.22@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹70L",Actively Searching,1,,Mira Road East,False,7000000,Sale
CL-1344,Krishna Trivedi,914712805743,krishna.43@example.com,Rent,"2 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹38k",Negotiating,2,Fully Furnished,Bhayandar East,False,38000,Rent
CL-1345,Qabil Mital,916774475059,qabil.63@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹160L",Site Visit Planned,3,,Bhayandar West,False,16000000,Sale
CL-1346,Abha Lad,6566893499,abha.15@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹105L",Site Visit Planned,2,,Anywhere in Mira Bhayandar,True,10500000,Sale
CL-1347,Tarak Ramanathan,9444296652,tarak.97@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹160L",Deal Closed,3,,Bhayandar West,False,16000000,Sale
CL-1348,Jagdish Nagy,913237780780,jagdish.79@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹85L",Lost Interest,2,,Bhayandar East,False,8500000,Sale
CL-1349,Rajata Deep,914621701345,rajata.40@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar East, Rent up to â‚¹18k",On Hold,1,Semi-Furnished,Bhayandar East,False,18000,Rent
CL-1350,Samaksh Upadhyay,910771078829,samaksh.61@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹30k",Deal Closed,2,Unfurnished,Mira Road East,False,30000,Rent
CL-1351,Harinakshi Bhasin,2571488382,harinakshi.71@example.com,Rent,"3 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹40k",Negotiating,3,Fully Furnished,Bhayandar West,False,40000,Rent
CL-1352,Nachiket Nagar,3728288403,nachiket.21@example.com,Rent,"2 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹31k",On Hold,2,Semi-Furnished,Bhayandar West,False,31000,Rent
CL-1353,Faqid Agarwal,915893940708,faqid.6@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹30k",Deal Closed,2,Fully Furnished,Bhayandar West,False,30000,Rent
CL-1354,Jack Loyal,7098286605,jack.3@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹24k",On Hold,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,24000,Rent
CL-1355,Watika Halder,914837828365,watika.22@example.com,Rent,"3 BHK Unfurnished in Mira Road East, Rent up to â‚¹40k",Site Visit Planned,3,Unfurnished,Mira Road East,False,40000,Rent
CL-1356,Nihal Lata,918472137960,nihal.27@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹230L",Site Visit Planned,3,,Anywhere in Mira Bhayandar,True,23000000,Sale
CL-1357,Falan Saraf,917639413661,falan.41@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",Deal Closed,3,,Mira Road East,False,24000000,Sale
CL-1358,Maanas Pradhan,3517334767,maanas.32@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹32k",Deal Closed,2,Unfurnished,Mira Road East,False,32000,Rent
CL-1359,Forum Sani,1706839691,forum.87@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹60L",Site Visit Planned,1,,Anywhere in Mira Bhayandar,True,6000000,Sale
CL-1360,Hritik Bajaj,1407441010,hritik.46@example.com,Rent,"2 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹37k",Site Visit Planned,2,Fully Furnished,Anywhere in Mira Bhayandar,True,37000,Rent
CL-1361,Samesh Bhalla,913801978552,samesh.24@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹60L",Deal Closed,1,,Bhayandar West,False,6000000,Sale
CL-1362,Frederick Deep,3210119095,frederick.9@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹70L",Lost Interest,1,,Bhayandar East,False,7000000,Sale
CL-1363,Bahadurjit Saran,1070948722,bahadurjit.73@example.com,Rent,"2 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹29k",Site Visit Planned,2,Unfurnished,Anywhere in Mira Bhayandar,True,29000,Rent
CL-1364,Siya Raja,2992694972,siya.28@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹210L",Actively Searching,3,,Anywhere in Mira Bhayandar,True,21000000,Sale
CL-1365,Yahvi Mangat,8221444423,yahvi.86@example.com,Rent,"3 BHK Unfurnished in Bhayandar East, Rent up to â‚¹54k",Deal Closed,3,Unfurnished,Bhayandar East,False,54000,Rent
CL-1366,Rudra Bali,1606955237,rudra.62@example.com,Sale,"1 BHK in Bhayandar East, Budget â‚¹55L",Lost Interest,1,,Bhayandar East,False,5500000,Sale
CL-1367,Andrew Kari,9153785628,andrew.21@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹56k",Site Visit Planned,3,Unfurnished,Anywhere in Mira Bhayandar,True,56000,Rent
CL-1368,Imaran Kurian,3598431995,imaran.78@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹120L",Deal Closed,2,,Bhayandar West,False,12000000,Sale
CL-1369,Warhi Modi,918271041165,warhi.68@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹140L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,14000000,Sale
CL-1370,Leena Muni,8766407161,leena.28@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹230L",Actively Searching,3,,Anywhere in Mira Bhayandar,True,23000000,Sale
CL-1371,Ekantika Sule,910797348827,ekantika.8@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹24k",Site Visit Planned,1,Fully Furnished,Anywhere in Mira Bhayandar,True,24000,Rent
CL-1372,Yadavi Chad,5575992030,yadavi.72@example.com,Rent,"1 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹20k",Lost Interest,1,Semi-Furnished,Mira Road East,False,20000,Rent
CL-1373,Lopa Dutta,6711775018,lopa.15@example.com,Rent,"3 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹40k",Lost Interest,3,Fully Furnished,Bhayandar East,False,40000,Rent
CL-1374,Jhalak Batra,919742673967,jhalak.61@example.com,Sale,"1 BHK in Bhayandar West, Budget â‚¹70L",Negotiating,1,,Bhayandar West,False,7000000,Sale
CL-1375,Gautam Mandal,919402767111,gautam.23@example.com,Sale,"3 BHK in Anywhere in Mira Bhayandar, Budget â‚¹210L",Negotiating,3,,Anywhere in Mira Bhayandar,True,21000000,Sale
CL-1376,Nathaniel Jha,914752794878,nathaniel.2@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹120L",Deal Closed,2,,Bhayandar East,False,12000000,Sale
CL-1377,Jeevika Vala,910703050268,jeevika.98@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹170L",Negotiating,3,,Mira Road East,False,17000000,Sale
CL-1378,Caleb Mutti,914178552760,caleb.16@example.com,Rent,"3 BHK Unfurnished in Bhayandar West, Rent up to â‚¹58k",Negotiating,3,Unfurnished,Bhayandar West,False,58000,Rent
CL-1379,Maanav Chahal,640424296,maanav.20@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹80L",Actively Searching,2,,Mira Road East,False,8000000,Sale
CL-1380,Henry Saraf,911329825930,henry.24@example.com,Rent,"3 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹46k",Deal Closed,3,Fully Furnished,Bhayandar West,False,46000,Rent
CL-1381,Megha Parsa,6767622713,megha.9@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹160L",Site Visit Planned,3,,Mira Road East,False,16000000,Sale
CL-1382,Gunbir Dave,910582529523,gunbir.76@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹190L",Lost Interest,3,,Bhayandar East,False,19000000,Sale
CL-1383,Rajeshri Banerjee,928763938,rajeshri.78@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹110L",Lost Interest,2,,Bhayandar West,False,11000000,Sale
CL-1384,Yash Choudhary,1603843061,yash.37@example.com,Rent,"2 BHK Fully Furnished in Mira Road East, Rent up to â‚¹25k",On Hold,2,Fully Furnished,Mira Road East,False,25000,Rent
CL-1385,Oscar Bhattacharyya,6249446029,oscar.69@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹29k",Lost Interest,2,Fully Furnished,Bhayandar West,False,29000,Rent
CL-1386,Jagdish Gade,911684926299,jagdish.71@example.com,Rent,"1 BHK Semi-Furnished in Bhayandar West, Rent up to â‚¹24k",Site Visit Planned,1,Semi-Furnished,Bhayandar West,False,24000,Rent
CL-1387,Jai Grover,912675323517,jai.18@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹130L",Negotiating,2,,Bhayandar East,False,13000000,Sale
CL-1388,Ekiya Bahri,8546242814,ekiya.57@example.com,Sale,"3 BHK in Mira Road East, Budget â‚¹240L",Site Visit Planned,3,,Mira Road East,False,24000000,Sale
CL-1389,Naveen Jayaraman,4075846851,naveen.10@example.com,Sale,"2 BHK in Bhayandar West, Budget â‚¹120L",Actively Searching,2,,Bhayandar West,False,12000000,Sale
CL-1390,Jagrati Arora,1718957675,jagrati.73@example.com,Rent,"3 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹58k",On Hold,3,Unfurnished,Anywhere in Mira Bhayandar,True,58000,Rent
CL-1391,Ekantika Nagy,8043671832,ekantika.90@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹23k",Lost Interest,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,23000,Rent
CL-1392,Praneel Lala,917238560160,praneel.16@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹26k",Lost Interest,2,Fully Furnished,Bhayandar West,False,26000,Rent
CL-1393,Chandani Ratti,4963075160,chandani.86@example.com,Sale,"1 BHK in Mira Road East, Budget â‚¹55L",Lost Interest,1,,Mira Road East,False,5500000,Sale
CL-1394,Fariq Gade,243400358,fariq.43@example.com,Rent,"2 BHK Unfurnished in Bhayandar East, Rent up to â‚¹38k",Negotiating,2,Unfurnished,Bhayandar East,False,38000,Rent
CL-1395,Vedhika Oza,914795691873,vedhika.74@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹23k",On Hold,1,Fully Furnished,Anywhere in Mira Bhayandar,True,23000,Rent
CL-1396,Gautam Bhasin,913675865342,gautam.37@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹105L",Actively Searching,2,,Anywhere in Mira Bhayandar,True,10500000,Sale
CL-1397,Chakradev Randhawa,919385670594,chakradev.73@example.com,Rent,"2 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹25k",On Hold,2,Fully Furnished,Bhayandar West,False,25000,Rent
CL-1398,Ekta Karan,2323885092,ekta.4@example.com,Sale,"2 BHK in Mira Road East, Budget â‚¹85L",On Hold,2,,Mira Road East,False,8500000,Sale
CL-1399,Urishilla Loke,911530248514,urishilla.44@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹150L",Deal Closed,3,,Bhayandar West,False,15000000,Sale
CL-1400,Bhavani Parmar,5726128309,bhavani.91@example.com,Rent,"3 BHK Semi-Furnished in Mira Road East, Rent up to â‚¹58k",Deal Closed,3,Semi-Furnished,Mira Road East,False,58000,Rent
CL-1401,Manan Sheth,990963366,manan.96@example.com,Rent,"1 BHK Fully Furnished in Mira Road East, Rent up to â‚¹22k",On Hold,1,Fully Furnished,Mira Road East,False,22000,Rent
CL-1402,Chavvi Kalita,918875243012,chavvi.76@example.com,Rent,"1 BHK Fully Furnished in Bhayandar West, Rent up to â‚¹24k",Lost Interest,1,Fully Furnished,Bhayandar West,False,24000,Rent
CL-1403,Nicholas Sodhi,862628067,nicholas.55@example.com,Rent,"2 BHK Unfurnished in Bhayandar West, Rent up to â‚¹28k",Lost Interest,2,Unfurnished,Bhayandar West,False,28000,Rent
CL-1404,Wridesh Tandon,5063536905,wridesh.2@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹115L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,11500000,Sale
CL-1405,Vasana Ramesh,915940977236,vasana.52@example.com,Rent,"1 BHK Semi-Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹18k",Deal Closed,1,Semi-Furnished,Anywhere in Mira Bhayandar,True,18000,Rent
CL-1406,Falan Sandhu,1456740596,falan.21@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹60L",Site Visit Planned,1,,Anywhere in Mira Bhayandar,True,6000000,Sale
CL-1407,Anusha Vora,2543474226,anusha.31@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹135L",Lost Interest,2,,Anywhere in Mira Bhayandar,True,13500000,Sale
CL-1408,Ridhi Savant,5075286573,ridhi.55@example.com,Sale,"2 BHK in Bhayandar East, Budget â‚¹115L",Actively Searching,2,,Bhayandar East,False,11500000,Sale
CL-1409,Theodore Rana,9139701636,theodore.44@example.com,Rent,"2 BHK Unfurnished in Anywhere in Mira Bhayandar, Rent up to â‚¹36k",On Hold,2,Unfurnished,Anywhere in Mira Bhayandar,True,36000,Rent
CL-1410,Balvan Varughese,795513921,balvan.40@example.com,Rent,"1 BHK Fully Furnished in Bhayandar East, Rent up to â‚¹18k",Site Visit Planned,1,Fully Furnished,Bhayandar East,False,18000,Rent
CL-1411,Harish Thakkar,914510076362,harish.50@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹200L",Lost Interest,3,,Bhayandar East,False,20000000,Sale
CL-1412,Hemal Srinivas,3652277051,hemal.44@example.com,Rent,"1 BHK Fully Furnished in Anywhere in Mira Bhayandar, Rent up to â‚¹20k",Site Visit Planned,1,Fully Furnished,Anywhere in Mira Bhayandar,True,20000,Rent
CL-1413,Pranav Khatri,4959641663,pranav.68@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹170L",Negotiating,3,,Bhayandar West,False,17000000,Sale
CL-1414,Yochana Sura,2638493620,yochana.16@example.com,Sale,"2 BHK in Anywhere in Mira Bhayandar, Budget â‚¹125L",On Hold,2,,Anywhere in Mira Bhayandar,True,12500000,Sale
CL-1415,Anika Sami,1332196098,anika.7@example.com,Sale,"3 BHK in Bhayandar East, Budget â‚¹230L",Deal Closed,3,,Bhayandar East,False,23000000,Sale
CL-1416,Guneet Rajagopal,9358073716,guneet.46@example.com,Sale,"1 BHK in Anywhere in Mira Bhayandar, Budget â‚¹50L",Negotiating,1,,Anywhere in Mira Bhayandar,True,5000000,Sale
CL-1417,Ekani Kale,6943419504,ekani.58@example.com,Rent,"2 BHK Unfurnished in Mira Road East, Rent up to â‚¹35k",Negotiating,2,Unfurnished,Mira Road East,False,35000,Rent
CL-1418,Keya Wagle,912047563935,keya.61@example.com,Sale,"3 BHK in Bhayandar West, Budget â‚¹210L",Lost Interest,3,,Bhayandar West,False,21000000,Sale
